0,0
0.000612141,0.0403917
0.00244806,0.08071
0.00550627,0.120882
0.00978426,0.160838
0.0152785,0.200507
0.0219846,0.23982
0.029897,0.278711
0.0390091,0.317113
0.0493136,0.354962
0.0608018,0.392194
0.0734644,0.428746
0.0872908,0.464557
0.10227,0.499568
0.118388,0.53372
0.135633,0.566956
0.15399,0.599219
0.173443,0.630455
0.193976,0.660611
0.215571,0.689633
0.23821,0.71747
0.261874,0.744074
0.286542,0.769395
0.312192,0.793386
0.338802,0.816
0.366348,0.837194
0.394806,0.856923
0.424151,0.875145
0.454356,0.891819
0.485394,0.906905
0.517235,0.920365
0.549851,0.932161
0.583211,0.942256
0.617284,0.950617
0.652037,0.95721
0.687436,0.962002
0.723448,0.964961
0.760036,0.96606
0.797165,0.965267
0.834796,0.962557
0.872892,0.957904
0.911412,0.951281
0.950317,0.942666
0.989564,0.932037
1.02911,0.919372
1.06892,0.904651
1.10893,0.887856
1.14912,0.868969
1.18942,0.847975
1.2298,0.824858
1.2702,0.799605
1.31058,0.772203
1.35088,0.742642
1.39106,0.710911
1.43105,0.677002
1.47081,0.640907
1.51029,0.602621
1.54942,0.562138
1.58815,0.519455
1.62643,0.47457
1.66419,0.427481
1.70138,0.378188
1.73793,0.326693
1.77379,0.272999
1.80888,0.217109
1.84316,0.159028
1.87654,0.0987631
1.90898,0.0363218
1.94039,-0.0282872
1.97072,-0.0950539
1.9999,-0.163967
2.02785,-0.235013
2.05451,-0.308179
2.0798,-0.383449
2.10365,-0.460808
2.12599,-0.540238
2.14674,-0.621719
2.16583,-0.705232
2.18318,-0.790755
2.19872,-0.878266
2.21236,-0.967741
2.22403,-1.05915
2.23364,-1.15248
2.24112,-1.24769
2.24638,-1.34476
2.24934,-1.44365
2.24991,-1.54433
2.24802,-1.64678
2.24356,-1.75096
2.23646,-1.85683
2.22662,-1.96435
2.21396,-2.0735
2.19839,-2.18422
2.17982,-2.29649
2.15814,-2.41025
2.13327,-2.52547
2.10512,-2.6421
2.07359,-2.7601
2.03858,-2.87942
2,-3.00001
